,WeekDay,B365H,B365D,B365A,margin,UPD
0,5,13.0,5.75,1.25,0.9516231699554423,-1.0
1,5,2.8,3.4,2.5,0.9512390087929656,-1.0
2,6,2.25,3.2,3.4,0.9514185775359502,-1.0
3,6,2.14,3.2,3.6,0.9455661245780913,-1.0
4,6,2.45,3.3,2.9,0.9469507269789984,2.3
5,6,5.5,4.0,1.61,0.9497251642311303,-1.0
6,6,3.5,3.5,2.1,0.9545454545454547,-1.0
7,0,1.36,4.5,11.0,0.9538112779824314,-1.0
8,5,1.36,5.0,8.5,0.9497206703910615,-1.0
9,5,1.61,4.0,5.5,0.9497251642311303,-1.0
10,6,2.45,3.3,2.9,0.9469507269789984,2.3
11,6,1.5,4.33,6.5,0.9510587970263572,-1.0
12,6,3.3,3.0,2.4,0.9496402877697843,2.0
13,6,1.95,3.4,4.0,0.9461291473421334,-1.0
14,6,1.5,4.33,7.0,0.9611034774336752,3.33
15,6,2.04,3.3,3.8,0.9466252220248669,-1.0
16,6,2.4,3.25,3.1,0.955164921983014,-1.0
17,0,1.72,3.75,5.0,0.9541420118343195,2.75
18,4,2.45,3.4,2.87,0.9517347080953046,-1.0
19,1,7.0,4.0,1.53,0.9556100825340174,-1.0
20,1,17.0,7.0,1.18,0.9531631821884332,-1.0
21,4,1.55,4.2,6.0,0.9524506217995611,-1.0
22,4,2.3,3.2,3.3,0.9520972167777342,2.2
23,4,1.57,4.0,6.0,0.9491183879093199,-1.0
24,4,1.22,6.5,13.0,0.9519807923169267,-1.0
25,4,6.5,4.1,1.53,0.9511640384435943,-1.0
26,4,2.1,3.3,3.75,0.9561258278145696,-1.0
27,4,1.66,3.75,5.5,0.9515703168426902,-1.0
