,WeekDay,B365H,B365D,B365A,margin,UPH
0,5,1.36,4.33,10.0,0.9378742705705476,0.3600000000000001
1,5,2.3,3.0,3.4,0.9414125200642053,-1.0
2,5,3.0,3.0,2.5,0.9375,-1.0
3,5,1.2,6.0,15.0,0.9375,0.19999999999999996
4,6,1.14,7.5,19.0,0.9405940594059407,0.1399999999999999
5,6,2.0,3.3,3.8,0.9379207180254302,-1.0
6,6,2.0,3.0,4.33,0.9396021699819168,-1.0
7,0,2.45,2.9,3.2,0.9385345717234261,-1.0
8,1,4.0,3.1,2.05,0.9430532368762753,-1.0
9,1,1.75,3.3,5.25,0.9390243902439025,-1.0
10,1,1.57,3.5,7.0,0.9385140905209224,0.5700000000000001
11,4,1.66,3.4,6.0,0.9405621597600266,0.6599999999999999
12,4,1.25,5.25,13.0,0.9368565545641729,0.25
13,4,8.0,3.8,1.45,0.9278046727004842,-1.0
14,4,2.3,3.0,3.4,0.9414125200642053,1.2999999999999998
15,4,2.3,2.9,3.5,0.938681141938078,1.2999999999999998
