WeekDay,B365H,B365D,B365A,margin,UPD
4,2.14,3.1,3.6,0.9366381676994275,-1.0
4,3.2,2.87,2.5,0.9425674288763906,1.87
4,1.8,3.3,4.75,0.9353555445052213,2.3
4,2.2,3.0,3.6,0.938388625592417,-1.0
4,1.9,3.25,3.8,0.9114391143911439,-1.0
4,3.3,3.0,2.37,0.9449075752084088,-1.0
4,2.1,3.1,3.75,0.9385813148788927,-1.0
4,3.0,2.9,2.6,0.9409317803660566,-1.0
5,1.95,3.1,4.33,0.9377801264711676,2.1
0,2.14,3.1,3.6,0.9366381676994275,-1.0
3,1.9,3.2,4.33,0.9347867769768846,-1.0
3,1.95,3.3,4.0,0.9382176052487697,2.3
3,1.61,3.8,5.5,0.9380035123909346,-1.0
3,3.25,3.0,2.37,0.940763358778626,-1.0
3,2.1,3.0,4.0,0.9438202247191011,-1.0
3,2.04,3.3,3.6,0.9337031900138695,-1.0
3,2.25,3.0,3.5,0.9402985074626867,-1.0
6,2.5,3.0,3.0,0.9375,-1.0
6,1.61,3.6,6.0,0.9384715025906736,-1.0
4,3.0,3.25,2.37,0.940763358778626,-1.0
0,2.0,3.1,4.2,0.942795076031861,-1.0
0,3.3,3.2,2.25,0.9434187016081002,-1.0
0,2.1,3.1,3.75,0.9385813148788927,2.1
0,1.83,3.25,5.0,0.9486402424435761,-1.0
0,3.2,3.0,2.4,0.9411764705882353,-1.0
0,3.0,3.1,2.45,0.9397813982264386,-1.0
0,3.3,3.0,2.3,0.933579335793358,-1.0
0,1.83,3.25,4.75,0.9392610755548167,-1.0
0,2.2,3.1,3.5,0.9408750492707922,2.1
3,2.4,3.2,3.0,0.9411764705882353,-1.0
4,2.9,3.0,2.6,0.9409317803660566,-1.0
4,1.8,3.5,4.5,0.9402985074626866,-1.0
4,2.1,3.2,3.6,0.9376744186046512,2.2
4,2.0,3.1,4.2,0.942795076031861,2.1
4,1.85,3.4,4.33,0.9384339736411406,-1.0
4,2.04,3.3,3.6,0.9337031900138695,2.3
4,2.0,3.1,4.2,0.942795076031861,-1.0
4,2.45,3.0,3.1,0.9397813982264386,-1.0
5,1.75,3.4,5.0,0.9384858044164038,-1.0
0,1.8,3.4,4.75,0.9432186891628812,-1.0
4,2.7,3.2,2.62,0.9393642625944063,2.2
4,2.5,2.75,3.3,0.9375,-1.0
4,2.1,3.1,3.8,0.9416825275980206,-1.0
4,1.85,3.0,5.0,0.9312080536912752,2.0
4,2.04,3.2,3.8,0.9382148260211801,-1.0
4,3.25,2.9,2.4,0.9352904692991523,-1.0
4,2.87,3.0,2.62,0.94034031697333,-1.0
4,3.3,3.3,2.2,0.942857142857143,-1.0
0,2.1,3.1,3.75,0.9385813148788927,2.1
4,2.87,3.0,2.62,0.94034031697333,-1.0
4,2.04,3.2,3.8,0.9382148260211801,-1.0
4,2.0,3.0,4.33,0.9396021699819168,-1.0
4,1.7,3.6,5.0,0.938074800735745,-1.0
4,2.25,3.2,3.2,0.935064935064935,-1.0
4,2.2,3.1,3.5,0.9408750492707922,-1.0
4,2.14,3.0,3.8,0.9400431565967942,-1.0
4,2.54,3.1,2.87,0.9392198098151351,-1.0
1,2.1,3.1,3.8,0.9416825275980206,-1.0
4,1.83,3.4,4.5,0.9409214638572436,-1.0
